year,rr,lower,upper,outcome,intervention
2021,0.281473351168856,0.191472342538766,0.413779067868173,Mortality,LAB
2022,0.371619977342974,0.249072109981705,0.55446355503447,Mortality,LAB
2023,0.62344205418741,0.388409260225892,1.00069703462623,Mortality,LAB
2024,0.688272871124656,0.259453439242273,1.82583644491152,Mortality,LAB
2021,3.55273419614101,2.41674864113376,5.22268640337724,Mortality,Other OST
2022,2.69092099716987,1.80354504984161,4.01490154828436,Mortality,Other OST
2023,1.60399830791555,0.99930345089262,2.57460390985121,Mortality,Other OST
2024,1.4529121253406,0.547694183006881,3.85425609666411,Mortality,Other OST
2021,2.2382699344704,2.07559435530787,2.4136952804591,Successful completion,LAB
2022,2.15049342919142,1.96954662412788,2.34806423587118,Successful completion,LAB
2023,1.85036199953013,1.60356315571212,2.13514479745245,Successful completion,LAB
2024,1.89076780242249,1.4115580547938,2.53266443454911,Successful completion,LAB
2021,0.446773637352462,0.414302504585332,0.481789708785208,Successful completion,Other OST
2022,0.465009558469563,0.425882727023854,0.507731062443268,Successful completion,Other OST
2023,0.540434790734965,0.468352310903294,0.623611235041077,Successful completion,Other OST
2024,0.528885672116258,0.394841095550833,0.708437032826169,Successful completion,Other OST
